node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.5406782969142017,0.2923330207540416,24,1,24,12,0.22878521983317066,0.4303146043769357,0.5,2.0
1,0.4844851931382509,0.23472590237020827,24,1,24,9,0.8408236444617824,0.1082717253682408,1.5,2.0
2,0.8742105533227209,0.7642440915408178,67,3,24,17,-0.23925653993537335,-0.15530104722142393,6.0,6.0
3,0.5630041680054121,0.3169736931914663,86,4,24,14,-0.19745632722079873,0.7487824400456012,27.5,8.0
4,0.3943210573436975,0.15548909626465157,74,2,24,10,0.9614284988719739,-0.2646359429757878,72.5,4.0
5,0.9081928252556966,0.8248142078459242,25,2,24,18,0.3323255282438482,0.20783283724060114,47.0,4.0
6,0.5722166196882188,0.32743185984741163,5,3,24,13,0.03934069827113766,0.9599291881565443,35.5,6.0
7,0.6209120190429305,0.38553173539196844,24,1,24,12,-0.8373401975500576,-0.5148873184245624,15.0,2.0
8,0.5010814072695384,0.25108257671122103,67,3,24,9,-0.9357493764423354,0.37597110988831134,10.5,6.0
9,0.40870215426494133,0.1670374509008039,25,2,24,9,0.5696545133195385,0.8137189940633851,59.5,4.0
10,0.38259300546614117,0.14637740783161474,5,3,24,8,0.8391979412445939,0.5913023407133975,36.5,6.0
11,0.3641217605177961,0.13258465648257925,21,2,24,8,-0.2625092371268265,0.8749575942457775,32.5,4.0
12,0.851549785585554,0.725137037330803,5,3,24,17,-0.4360640793910758,0.1583856003562733,39.0,6.0
13,0.6048752052082099,0.3658740138756741,12,4,24,13,-0.6614849171361981,0.5888503014747851,37.5,8.0
14,0.6066203778349241,0.367988282804586,2,4,24,13,0.17512680513131082,-0.14406137687927764,2.5,8.0
15,0.3493358033398758,0.12203550349511638,24,1,24,7,-0.5147449972875814,0.8005422894162445,28.5,2.0
16,0.46468549111124274,0.21593260564929687,5,3,24,11,-0.28327535404890497,0.3484947065332696,41.5,6.0
17,0.7886542449627916,0.6219755180978308,24,1,24,15,-0.9840582236054202,0.09640641666241491,30.5,2.0
18,0.5373814462608948,0.288778818785451,2,4,24,13,0.16385544038611607,0.237870590153893,3.5,8.0
19,0.49136515289950955,0.2414397134839584,55,4,24,12,0.8949549069631426,0.4471889137342204,44.5,8.0
20,0.45457410789600905,0.20663761956945248,5,3,24,11,-0.540305599361591,-0.1722406914195411,42.5,6.0
21,0.7243783863673829,0.5247240466362135,24,1,24,14,0.16140351682764448,-0.6406041574542307,33.5,2.0
22,0.4334617379817982,0.1878890782942011,17,2,24,11,0.26786963194050245,0.6094992943008317,29.5,4.0
23,0.47063809898342696,0.22150022021473398,65,5,24,11,-0.605114709116079,-0.7759122388172613,20.5,10.0
24,1.0,1.0,-1,0,24,21,0.03276579453812384,-0.06569114297355395,38.0,0.0
25,0.7630364375432286,0.5822246050186614,24,1,24,15,0.4329224469288568,-0.2173113654680578,48.5,2.0
26,0.7881388817608344,0.6211628969432185,2,4,24,16,0.7221740557906329,-0.6490621589874547,5.0,8.0
27,0.5194520150287494,0.2698303959174281,12,4,24,12,-0.8263729225378161,-0.4031873337961248,38.5,8.0
28,0.43635869502861335,0.1904089107270744,99,2,24,10,-0.04953997921934317,-0.40312883738521016,75.5,4.0
29,0.33914914271760355,0.11502214100608542,84,4,24,7,-0.3450690178839802,-0.84630207763993,46.5,8.0
30,0.30997572977821086,0.0960849530515344,17,2,24,7,-0.6895243921615126,-0.7249453452751824,30.5,4.0
31,0.7828833016724847,0.6129062640376106,67,3,24,15,0.009763443781207314,-0.5500024616343826,11.5,6.0
32,0.6099614035371218,0.37205291380497557,84,4,24,14,-0.30612622251875105,-0.33723592191525276,47.5,8.0
33,0.43141783392427296,0.18612134742791156,73,4,24,10,0.4410920710022587,-0.6321198982601368,16.5,8.0
34,0.562633470021077,0.31655642158795816,24,1,24,11,0.7047436867726403,-0.7075857041744564,62.5,2.0
35,0.5843865204781634,0.3415076053165749,24,1,24,11,0.9890689649075435,-0.12014668595484533,63.5,2.0
36,0.3287768672642397,0.1080942284480875,31,4,24,7,1.0,0.012257233553589444,11.5,8.0
37,0.3374926554182313,0.11390129246124901,24,1,24,7,0.405204315358895,-0.9193630264707559,64.5,2.0
38,0.4695901079729336,0.22051486950603144,24,1,24,9,-0.4976388161610688,-0.8323574148335132,65.5,2.0
39,0.40405956030372125,0.16326412827283654,26,5,24,9,-0.2590496302600019,-0.9303772537482623,4.5,10.0
40,0.4650425426843654,0.21626456650633982,73,4,24,12,-0.12295179759237852,-0.19821135381364408,17.5,8.0
41,0.571260032391842,0.32633802460832834,24,1,24,11,-0.9458277138050997,0.24629588629586324,66.5,2.0
42,0.3638366375144975,0.13237709879785586,2,4,24,8,-0.02732703985060607,-0.8930042210295227,6.5,8.0
43,0.36792669706970754,0.13537005441662434,26,5,24,8,-0.12167119849774574,-0.9577953234654655,5.5,10.0
44,0.6191768149556361,0.3833799281786061,5,3,24,13,0.039954883311639516,0.8280744881546036,43.5,6.0
45,0.17009499522366409,0.02893230740013831,52,5,24,5,-0.5261955359857157,0.7268360183958126,8.5,10.0
46,0.4160532945832001,0.1731003439335351,84,4,24,9,-0.8480813768378015,0.4693615071891858,48.5,8.0
47,0.44361544553815896,0.1967946635200193,67,3,24,10,-0.7487101468272022,-0.5543742947761018,12.5,6.0
48,0.3088142529702661,0.0953662428375835,2,4,24,7,0.13376501819777653,-0.9641895420195065,7.5,8.0
49,0.6036440037156513,0.3643860832218612,24,1,24,13,0.5450175155088408,-0.877796194105608,67.5,2.0
50,0.41767223979616747,0.17445009989634722,71,4,24,11,0.34611492219123835,-0.34819638723576407,15.5,8.0
51,0.5198361843134267,0.27022965852154296,24,1,24,10,0.48725071833701206,0.8861906434774384,68.5,2.0
52,0.6130862203085563,0.3758747135322316,2,4,24,14,-0.894970773304933,0.09606771895262477,8.5,8.0
53,0.44643423715396263,0.19930352810324056,67,3,24,9,0.5582753311900556,0.6482549420899374,13.5,6.0
54,0.404057129160835,0.16326216362569573,75,2,24,9,-0.38504107230995405,0.9292192410999232,73.5,4.0
55,0.6680226085951557,0.44625420559427664,5,3,24,13,-0.06023699704602548,0.42531666299117715,44.5,6.0
56,0.5803737139297709,0.3368336478206355,24,1,24,11,0.5963801275343564,-0.6849498908719837,69.5,2.0
57,0.6407864298428197,0.41060724867070697,67,3,24,13,0.33539428457439113,-0.04304073548887664,14.5,6.0
58,0.5188961156678027,0.26925317885513367,12,4,24,12,0.9617358594516364,0.10320529633277986,39.5,8.0
59,0.4850093735104817,0.23523409239302992,24,1,24,10,0.48678515722899873,0.3565302871946977,70.5,2.0
60,0.3546303476915021,0.12576268350379566,25,2,24,8,0.8091774735434537,0.4006352105099566,60.5,4.0
61,0.5423982278808005,0.2941958376082328,73,4,24,12,0.9361319017301676,0.35353179883434777,18.5,8.0
62,0.45919677740326614,0.21086168037754477,73,4,24,10,-0.48940979628236325,0.02101677674737605,19.5,8.0
63,0.5585925953231137,0.31202568754981186,5,3,24,11,-0.9529210244319315,-0.24616740732314835,45.5,6.0
64,0.4063209149151061,0.16509668589744889,80,4,24,10,0.43856652715534,-0.8040962053655719,26.5,8.0
65,0.644727572971992,0.4156736433503553,73,4,24,14,-0.06662583649624396,0.1911316953952949,21.0,8.0
66,0.4560705166913204,0.208000316195088,73,4,24,10,-0.893369298970515,-0.35444554962928393,22.5,8.0
67,0.959453079447901,0.9205502116620603,7,2,24,18,-0.272741662481848,0.06075885839182425,15.0,4.0
68,0.2530954779533974,0.06405732096045866,6,4,24,7,0.20287513345896535,0.8623289499076067,35.5,8.0
69,0.2551903196198683,0.06512209922769055,21,2,24,6,0.796392029452108,-0.40844991283694493,33.5,4.0
70,0.6217332841280606,0.3865522765926637,24,1,24,11,0.6661669432641335,-0.2514691453479204,71.5,2.0
71,0.6885492943084855,0.47410013069271345,67,3,24,14,-0.14584897315368578,0.5400297721928232,15.5,6.0
72,0.25586059753790674,0.0654646453724547,25,2,24,7,0.6964587068765125,0.6561570419696187,61.5,4.0
73,0.8584678399744046,0.7369670322703199,67,3,24,17,-0.6727392053495176,0.6683462110026677,20.0,6.0
74,0.6561677228821611,0.43055608055236055,24,1,24,14,0.275554485342778,0.7661259045538813,72.5,2.0
75,0.6542667485067553,0.4280649782016017,24,1,24,12,-0.5957029109335235,0.3996905328534958,73.5,2.0
76,0.6298580147613291,0.3967211187590826,2,4,24,13,-0.6072914998772158,0.08184069355478299,9.5,8.0
77,0.498710235911616,0.2487118994030197,67,3,24,12,-0.7816199973012692,0.6205136904923292,24.5,6.0
78,0.28271505886452253,0.07992780450877043,76,5,24,7,0.8844290786494774,0.3253817095658438,9.5,10.0
79,0.5822611754001179,0.3390280763783269,67,3,24,13,-0.1851116425458669,-0.8632519499969559,25.5,6.0
80,0.672374920756118,0.45208803406179604,67,3,24,14,-0.02333468570263908,0.10297519356953369,26.5,6.0
81,0.34327597667949905,0.11783839616526398,21,2,24,8,0.3681254834977903,0.9050549402901855,34.5,4.0
82,0.31422919944611083,0.0987399897845437,84,4,24,6,0.7479213824672553,0.7164891020817349,49.5,8.0
83,0.5300160977496534,0.2809170638737702,84,4,24,10,-0.7757774181619731,-0.15464365731243654,50.5,8.0
84,0.8565396259210875,0.7336601307730364,5,3,24,19,0.14539445625214426,-0.274236879585574,50.5,6.0
85,0.282913221768664,0.08003989105152527,84,4,24,6,-0.00016744725977875185,-0.9799003436136121,51.5,8.0
86,0.629973664609649,0.3968668181017105,67,3,24,12,-0.5004135305550363,-0.708721428315708,27.5,6.0
87,0.3284413900743781,0.1078737467139898,5,3,24,7,0.8349668711910143,-0.4968717739878484,55.5,6.0
88,0.4453723308811588,0.19835651311451638,5,3,24,11,-0.2348468266509543,0.9546705724991634,56.5,6.0
89,0.5844857357869432,0.3416235753384044,17,2,24,14,0.059332640570669413,-0.7027451959982055,31.5,4.0
90,0.3509384200634911,0.12315777467665931,73,4,24,7,-0.8869697504836641,0.3134073818522458,23.5,8.0
91,0.48961061808226947,0.23971855733890193,5,3,24,11,0.3713035075961164,-0.6525441389967856,57.5,6.0
92,0.31113040410349485,0.096802128357604,84,4,24,8,0.9218190083155444,0.2140206416866869,52.5,8.0
93,0.5072497597015978,0.2573023187173287,84,4,24,11,-0.43853230327465764,0.42274992962150726,53.5,8.0
94,0.578683398878202,0.3348744761372282,5,3,24,11,0.6241785491098736,-0.057711710652873845,58.5,6.0
95,0.36618342502805573,0.13409030076527773,12,4,24,9,-0.6260278990604276,-0.5796672463158977,40.5,8.0
96,0.485504068408554,0.23571420044125785,24,1,24,10,-0.49711370739101485,0.8809250042298797,74.5,2.0
97,0.43091751871038275,0.18568990793151308,65,5,24,11,0.8330086244843129,-0.19616849180766505,21.5,10.0
98,0.635344937837641,0.40366319003591594,84,4,24,13,-0.6843459380582123,-0.30471545937680905,54.5,8.0
99,0.7011008150235305,0.4915423528266587,24,1,24,14,-0.8323721996140141,-0.019886643282229666,75.5,2.0
