family,N,graph_idx,rounds_cold,rounds_warm
er,20,0,20,20
er,20,1,25,22
er,20,2,23,20
er,20,3,25,24
er,20,4,26,30
er,20,5,22,21
er,20,6,25,23
er,20,7,22,20
er,20,8,21,21
er,20,9,21,18
er,20,10,30,27
er,20,11,21,19
er,20,12,19,18
er,20,13,20,18
er,20,14,20,18
er,20,15,22,19
er,20,16,19,19
er,20,17,19,18
er,20,18,18,17
er,20,19,22,19
er,20,20,20,20
er,20,21,27,24
er,20,22,21,21
er,20,23,24,23
er,20,24,19,19
er,20,25,20,20
er,20,26,23,21
er,20,27,22,23
er,20,28,24,22
er,20,29,19,17
er,40,0,14,13
er,40,1,15,14
er,40,2,14,14
er,40,3,16,14
er,40,4,15,15
er,40,5,14,13
er,40,6,14,12
er,40,7,14,13
er,40,8,15,14
er,40,9,15,14
er,40,10,15,13
er,40,11,14,13
er,40,12,15,14
er,40,13,16,13
er,40,14,14,14
er,40,15,15,13
er,40,16,15,13
er,40,17,16,14
er,40,18,16,14
er,40,19,15,15
er,40,20,15,13
er,40,21,15,14
er,40,22,15,16
er,40,23,14,13
er,40,24,16,13
er,40,25,15,14
er,40,26,15,13
er,40,27,16,13
er,40,28,16,14
er,40,29,15,15
er,60,0,12,11
er,60,1,12,12
er,60,2,12,11
er,60,3,12,11
er,60,4,12,12
er,60,5,12,10
er,60,6,13,12
er,60,7,13,12
er,60,8,13,12
er,60,9,13,12
er,60,10,13,11
er,60,11,13,11
er,60,12,14,12
er,60,13,12,11
er,60,14,13,12
er,60,15,13,11
er,60,16,13,11
er,60,17,13,12
er,60,18,13,12
er,60,19,13,11
er,60,20,13,12
er,60,21,13,12
er,60,22,12,11
er,60,23,12,11
er,60,24,13,11
er,60,25,13,11
er,60,26,13,11
er,60,27,12,11
er,60,28,13,11
er,60,29,13,11
er,80,0,12,11
er,80,1,12,10
er,80,2,12,11
er,80,3,11,10
er,80,4,12,11
er,80,5,11,11
er,80,6,12,11
er,80,7,12,10
er,80,8,11,10
er,80,9,11,10
er,80,10,11,10
er,80,11,12,10
er,80,12,11,10
er,80,13,11,10
er,80,14,11,10
er,80,15,11,10
er,80,16,11,10
er,80,17,11,10
er,80,18,12,10
er,80,19,11,10
er,80,20,12,11
er,80,21,12,10
er,80,22,12,10
er,80,23,12,10
er,80,24,12,10
er,80,25,12,10
er,80,26,12,10
er,80,27,12,10
er,80,28,12,10
er,80,29,12,10
er,100,0,11,10
er,100,1,11,9
er,100,2,11,9
er,100,3,11,10
er,100,4,11,10
er,100,5,11,9
er,100,6,11,10
er,100,7,11,10
er,100,8,11,10
er,100,9,11,10
er,100,10,11,10
er,100,11,11,10
er,100,12,11,10
er,100,13,11,10
er,100,14,11,9
er,100,15,11,9
er,100,16,11,10
er,100,17,11,10
er,100,18,11,9
er,100,19,11,9
er,100,20,11,10
er,100,21,11,10
er,100,22,11,10
er,100,23,11,10
er,100,24,11,10
er,100,25,11,10
er,100,26,11,10
er,100,27,11,9
er,100,28,11,10
er,100,29,11,9
er,120,0,10,9
er,120,1,10,9
er,120,2,10,9
er,120,3,10,9
er,120,4,10,9
er,120,5,10,9
er,120,6,10,9
er,120,7,11,9
er,120,8,11,9
er,120,9,10,9
er,120,10,11,9
er,120,11,10,9
er,120,12,11,9
er,120,13,11,9
er,120,14,10,9
er,120,15,11,9
er,120,16,11,9
er,120,17,10,9
er,120,18,10,9
er,120,19,10,9
er,120,20,10,9
er,120,21,10,9
er,120,22,10,9
er,120,23,11,9
er,120,24,10,9
er,120,25,10,9
er,120,26,10,9
er,120,27,11,9
er,120,28,11,10
er,120,29,11,9
er,140,0,10,9
er,140,1,10,9
er,140,2,10,9
er,140,3,10,9
er,140,4,10,9
er,140,5,10,9
er,140,6,10,9
er,140,7,10,9
er,140,8,10,9
er,140,9,10,9
er,140,10,10,9
er,140,11,10,9
er,140,12,10,9
er,140,13,10,9
er,140,14,10,9
er,140,15,10,9
er,140,16,10,9
er,140,17,10,9
er,140,18,10,9
er,140,19,10,9
er,140,20,10,9
er,140,21,10,9
er,140,22,10,9
er,140,23,10,9
er,140,24,10,9
er,140,25,10,9
er,140,26,10,9
er,140,27,10,9
er,140,28,10,9
er,140,29,10,9
er,160,0,10,8
er,160,1,10,8
er,160,2,10,8
er,160,3,10,9
er,160,4,9,8
er,160,5,10,8
er,160,6,10,8
er,160,7,10,8
er,160,8,10,8
er,160,9,10,8
er,160,10,10,8
er,160,11,10,8
er,160,12,10,9
er,160,13,10,9
er,160,14,10,9
er,160,15,10,8
er,160,16,10,8
er,160,17,10,9
er,160,18,10,8
er,160,19,10,8
er,160,20,10,9
er,160,21,9,9
er,160,22,10,8
er,160,23,10,8
er,160,24,10,8
er,160,25,10,8
er,160,26,10,8
er,160,27,10,9
er,160,28,9,8
er,160,29,10,9
er,180,0,9,8
er,180,1,10,8
er,180,2,9,8
er,180,3,9,8
er,180,4,9,8
er,180,5,9,8
er,180,6,9,8
er,180,7,9,8
er,180,8,9,8
er,180,9,10,8
er,180,10,9,8
er,180,11,10,8
er,180,12,10,8
er,180,13,9,8
er,180,14,9,8
er,180,15,10,8
er,180,16,9,8
er,180,17,9,8
er,180,18,10,8
er,180,19,10,8
er,180,20,9,8
er,180,21,9,8
er,180,22,9,8
er,180,23,10,8
er,180,24,10,8
er,180,25,10,8
er,180,26,10,8
er,180,27,9,8
er,180,28,10,8
er,180,29,9,8
er,200,0,9,8
er,200,1,9,8
er,200,2,9,8
er,200,3,9,8
er,200,4,9,8
er,200,5,9,8
er,200,6,9,8
er,200,7,9,8
er,200,8,9,8
er,200,9,9,8
er,200,10,9,8
er,200,11,9,8
er,200,12,9,8
er,200,13,9,8
er,200,14,9,8
er,200,15,9,8
er,200,16,9,8
er,200,17,9,8
er,200,18,9,8
er,200,19,9,8
er,200,20,9,8
er,200,21,9,8
er,200,22,9,8
er,200,23,9,8
er,200,24,9,8
er,200,25,9,8
er,200,26,9,8
er,200,27,9,8
er,200,28,9,8
er,200,29,9,8
sparse_er,20,0,21,21
sparse_er,20,1,19,18
sparse_er,20,2,21,20
sparse_er,20,3,17,17
sparse_er,20,4,20,18
sparse_er,20,5,20,17
sparse_er,20,6,16,16
sparse_er,20,7,22,22
sparse_er,20,8,19,16
sparse_er,20,9,19,16
sparse_er,20,10,21,19
sparse_er,20,11,17,17
sparse_er,20,12,22,19
sparse_er,20,13,18,18
sparse_er,20,14,19,17
sparse_er,20,15,19,19
sparse_er,20,16,23,21
sparse_er,20,17,22,20
sparse_er,20,18,21,19
sparse_er,20,19,19,17
sparse_er,20,20,21,20
sparse_er,20,21,23,21
sparse_er,20,22,20,16
sparse_er,20,23,22,22
sparse_er,20,24,20,21
sparse_er,20,25,19,18
sparse_er,20,26,22,19
sparse_er,20,27,21,18
sparse_er,20,28,21,19
sparse_er,20,29,22,20
sparse_er,40,0,27,23
sparse_er,40,1,24,22
sparse_er,40,2,26,23
sparse_er,40,3,31,29
sparse_er,40,4,30,29
sparse_er,40,5,24,22
sparse_er,40,6,27,26
sparse_er,40,7,26,25
sparse_er,40,8,28,25
sparse_er,40,9,26,23
sparse_er,40,10,23,23
sparse_er,40,11,26,23
sparse_er,40,12,25,23
sparse_er,40,13,27,25
sparse_er,40,14,25,24
sparse_er,40,15,24,23
sparse_er,40,16,25,23
sparse_er,40,17,26,25
sparse_er,40,18,24,24
sparse_er,40,19,26,21
sparse_er,40,20,22,23
sparse_er,40,21,24,24
sparse_er,40,22,22,24
sparse_er,40,23,25,22
sparse_er,40,24,26,23
sparse_er,40,25,23,21
sparse_er,40,26,24,23
sparse_er,40,27,23,22
sparse_er,40,28,22,22
sparse_er,40,29,25,23
sparse_er,60,0,28,28
sparse_er,60,1,27,25
sparse_er,60,2,27,24
sparse_er,60,3,25,22
sparse_er,60,4,28,25
sparse_er,60,5,26,26
sparse_er,60,6,28,26
sparse_er,60,7,28,27
sparse_er,60,8,27,24
sparse_er,60,9,23,22
sparse_er,60,10,27,23
sparse_er,60,11,27,24
sparse_er,60,12,28,24
sparse_er,60,13,25,25
sparse_er,60,14,30,26
sparse_er,60,15,27,26
sparse_er,60,16,24,24
sparse_er,60,17,30,33
sparse_er,60,18,27,23
sparse_er,60,19,26,24
sparse_er,60,20,25,22
sparse_er,60,21,27,25
sparse_er,60,22,29,26
sparse_er,60,23,24,25
sparse_er,60,24,24,21
sparse_er,60,25,27,23
sparse_er,60,26,25,22
sparse_er,60,27,26,25
sparse_er,60,28,23,23
sparse_er,60,29,26,23
sparse_er,80,0,27,27
sparse_er,80,1,29,23
sparse_er,80,2,29,26
sparse_er,80,3,25,23
sparse_er,80,4,28,26
sparse_er,80,5,30,27
sparse_er,80,6,26,24
sparse_er,80,7,32,26
sparse_er,80,8,29,26
sparse_er,80,9,25,24
sparse_er,80,10,27,27
sparse_er,80,11,31,31
sparse_er,80,12,29,27
sparse_er,80,13,29,26
sparse_er,80,14,28,25
sparse_er,80,15,28,24
sparse_er,80,16,25,22
sparse_er,80,17,29,27
sparse_er,80,18,29,25
sparse_er,80,19,29,24
sparse_er,80,20,26,23
sparse_er,80,21,33,28
sparse_er,80,22,31,29
sparse_er,80,23,27,23
sparse_er,80,24,29,23
sparse_er,80,25,26,24
sparse_er,80,26,28,25
sparse_er,80,27,27,26
sparse_er,80,28,28,26
sparse_er,80,29,28,24
sparse_er,100,0,28,29
sparse_er,100,1,28,25
sparse_er,100,2,27,25
sparse_er,100,3,28,26
sparse_er,100,4,29,25
sparse_er,100,5,30,27
sparse_er,100,6,30,27
sparse_er,100,7,27,26
sparse_er,100,8,27,27
sparse_er,100,9,31,26
sparse_er,100,10,28,24
sparse_er,100,11,31,28
sparse_er,100,12,29,27
sparse_er,100,13,28,31
sparse_er,100,14,29,31
sparse_er,100,15,29,25
sparse_er,100,16,26,24
sparse_er,100,17,24,23
sparse_er,100,18,27,26
sparse_er,100,19,27,25
sparse_er,100,20,29,26
sparse_er,100,21,28,25
sparse_er,100,22,29,27
sparse_er,100,23,28,24
sparse_er,100,24,27,26
sparse_er,100,25,25,25
sparse_er,100,26,28,27
sparse_er,100,27,28,26
sparse_er,100,28,28,26
sparse_er,100,29,28,28
sparse_er,120,0,29,26
sparse_er,120,1,29,27
sparse_er,120,2,26,25
sparse_er,120,3,29,27
sparse_er,120,4,29,26
sparse_er,120,5,29,26
sparse_er,120,6,27,25
sparse_er,120,7,28,26
sparse_er,120,8,27,25
sparse_er,120,9,30,26
sparse_er,120,10,31,24
sparse_er,120,11,29,25
sparse_er,120,12,27,24
sparse_er,120,13,29,28
sparse_er,120,14,29,26
sparse_er,120,15,29,27
sparse_er,120,16,28,26
sparse_er,120,17,27,25
sparse_er,120,18,27,25
sparse_er,120,19,28,27
sparse_er,120,20,29,28
sparse_er,120,21,27,25
sparse_er,120,22,29,26
sparse_er,120,23,30,25
sparse_er,120,24,27,24
sparse_er,120,25,33,30
sparse_er,120,26,27,26
sparse_er,120,27,27,25
sparse_er,120,28,31,27
sparse_er,120,29,28,26
sparse_er,140,0,29,27
sparse_er,140,1,31,29
sparse_er,140,2,31,27
sparse_er,140,3,27,24
sparse_er,140,4,29,26
sparse_er,140,5,31,28
sparse_er,140,6,27,24
sparse_er,140,7,31,27
sparse_er,140,8,30,26
sparse_er,140,9,30,25
sparse_er,140,10,30,26
sparse_er,140,11,32,28
sparse_er,140,12,29,26
sparse_er,140,13,29,26
sparse_er,140,14,28,26
sparse_er,140,15,27,25
sparse_er,140,16,31,27
sparse_er,140,17,29,25
sparse_er,140,18,29,27
sparse_er,140,19,27,27
sparse_er,140,20,29,27
sparse_er,140,21,29,28
sparse_er,140,22,29,27
sparse_er,140,23,30,27
sparse_er,140,24,28,26
sparse_er,140,25,28,25
sparse_er,140,26,29,26
sparse_er,140,27,29,25
sparse_er,140,28,31,26
sparse_er,140,29,28,26
sparse_er,160,0,29,28
sparse_er,160,1,30,26
sparse_er,160,2,33,28
sparse_er,160,3,28,27
sparse_er,160,4,30,27
sparse_er,160,5,27,27
sparse_er,160,6,27,26
sparse_er,160,7,28,26
sparse_er,160,8,30,27
sparse_er,160,9,29,26
sparse_er,160,10,29,26
sparse_er,160,11,26,26
sparse_er,160,12,31,29
sparse_er,160,13,28,27
sparse_er,160,14,31,27
sparse_er,160,15,28,26
sparse_er,160,16,27,25
sparse_er,160,17,29,27
sparse_er,160,18,33,28
sparse_er,160,19,28,27
sparse_er,160,20,29,26
sparse_er,160,21,30,27
sparse_er,160,22,28,25
sparse_er,160,23,29,26
sparse_er,160,24,31,27
sparse_er,160,25,30,26
sparse_er,160,26,26,27
sparse_er,160,27,29,28
sparse_er,160,28,29,27
sparse_er,160,29,31,28
sparse_er,180,0,28,28
sparse_er,180,1,29,25
sparse_er,180,2,28,28
sparse_er,180,3,32,28
sparse_er,180,4,28,26
sparse_er,180,5,30,29
sparse_er,180,6,32,26
sparse_er,180,7,29,26
sparse_er,180,8,32,28
sparse_er,180,9,33,30
sparse_er,180,10,28,26
sparse_er,180,11,30,28
sparse_er,180,12,30,27
sparse_er,180,13,27,26
sparse_er,180,14,28,26
sparse_er,180,15,30,26
sparse_er,180,16,29,28
sparse_er,180,17,29,26
sparse_er,180,18,29,26
sparse_er,180,19,29,28
sparse_er,180,20,31,27
sparse_er,180,21,30,28
sparse_er,180,22,30,27
sparse_er,180,23,31,28
sparse_er,180,24,29,25
sparse_er,180,25,30,28
sparse_er,180,26,30,25
sparse_er,180,27,29,27
sparse_er,180,28,29,26
sparse_er,180,29,30,30
sparse_er,200,0,29,28
sparse_er,200,1,28,26
sparse_er,200,2,29,26
sparse_er,200,3,30,28
sparse_er,200,4,30,28
sparse_er,200,5,29,26
sparse_er,200,6,30,26
sparse_er,200,7,29,27
sparse_er,200,8,26,25
sparse_er,200,9,30,25
sparse_er,200,10,28,26
sparse_er,200,11,33,29
sparse_er,200,12,31,26
sparse_er,200,13,29,28
sparse_er,200,14,30,25
sparse_er,200,15,29,24
sparse_er,200,16,29,25
sparse_er,200,17,32,30
sparse_er,200,18,32,27
sparse_er,200,19,30,27
sparse_er,200,20,29,27
sparse_er,200,21,29,27
sparse_er,200,22,30,26
sparse_er,200,23,30,27
sparse_er,200,24,30,27
sparse_er,200,25,32,27
sparse_er,200,26,29,27
sparse_er,200,27,32,29
sparse_er,200,28,29,26
sparse_er,200,29,27,24
